0.043	0.00016087
0.042	0.00016515
0.041	0.0001695
0.04	0.00017395
0.039	0.00017847
0.038	0.00018309
0.037	0.00018778
0.036	0.00019257
0.035	0.00019743
0.034	0.00020239
0.033	0.00020743
0.032	0.00021255
0.031	0.00021776
0.03	0.00022305
0.029	0.00022843
0.028	0.00023389
0.027	0.00023943
0.026	0.00024506
0.025	0.00025076
0.024	0.00025655
0.023	0.00026242
0.022	0.00026836
0.021	0.00027438
0.02	0.00028048
0.019	0.00028665
0.018	0.00029289
0.017	0.00029921
0.016	0.00030559
0.015	0.00031204
0.014	0.00031856
0.013	0.00032514
0.012	0.00033178
0.011	0.00033848
0.01	0.00034523
0.009	0.00035204
0.008	0.0003589
0.007	0.0003658
0.006	0.00037275
0.005	0.00037974
0.004	0.00038677
0.003	0.00039384
0.002	0.00040093
0.001	0.00040806
-2.15E-16	0.00041521
-0.001	0.00042238
-0.002	0.00042956
-0.003	0.00043676
-0.004	0.00044397
-0.005	0.00045118
-0.006	0.0004584
-0.007	0.00046561
-0.008	0.00047281
-0.009	0.00048
-0.01	0.00048717
-0.011	0.00049432
-0.012	0.00050144
-0.013	0.00050854
-0.014	0.0005156
-0.015	0.00052261
-0.016	0.00052959
-0.017	0.00053651
-0.018	0.00054338
-0.019	0.00055019
-0.02	0.00055694
-0.021	0.00056361
-0.022	0.00057022
-0.023	0.00057675
-0.024	0.00058319
-0.025	0.00058955
-0.026	0.00059581
-0.027	0.00060199
-0.028	0.00060806
-0.029	0.00061402
-0.03	0.00061988
-0.031	0.00062563
-0.032	0.00063126
-0.033	0.00063677
-0.034	0.00064216
-0.035	0.00064741
-0.036	0.00065254
-0.037	0.00065754
-0.038	0.0006624
-0.039	0.00066711
-0.04	0.00067169
-0.041	0.00067612
-0.042	0.0006804
-0.043	0.00068454
-0.044	0.00068852
-0.045	0.00069235
-0.046	0.00069602
-0.047	0.00069954
-0.048	0.00070289
-0.049	0.00070609
-0.05	0.00070913
-0.051	0.00071202
-0.052	0.00071474
-0.053	0.00071729
-0.054	0.00071969
-0.055	0.00072193
-0.056	0.00072401
-0.057	0.00072593
-0.058	0.00072768
-0.059	0.00072929
-0.06	0.00073073
-0.061	0.00073202
-0.062	0.00073315
-0.063	0.00073413
-0.064	0.00073497
-0.065	0.00073565
-0.066	0.00073618
-0.067	0.00073658
-0.068	0.00073683
-0.069	0.00073694
-0.07	0.00073691
-0.071	0.00073675
-0.072	0.00073646
-0.073	0.00073604
-0.074	0.00073549
-0.075	0.00073483
-0.076	0.00073404
-0.077	0.00073314
-0.078	0.00073212
-0.079	0.000731
-0.08	0.00072977
-0.081	0.00072843
-0.082	0.000727
-0.083	0.00072548
-0.084	0.00072386
-0.085	0.00072215
-0.086	0.00072036
-0.087	0.00071848
-0.088	0.00071653
-0.089	0.0007145
-0.09	0.0007124
-0.091	0.00071023
-0.092	0.000708
-0.093	0.00070571
-0.094	0.00070335
-0.095	0.00070095
-0.096	0.00069849
-0.097	0.00069598
-0.098	0.00069342
-0.099	0.00069082
-0.1	0.00068818
-0.101	0.00068551
-0.102	0.0006828
-0.103	0.00068005
-0.104	0.00067728
-0.105	0.00067448
-0.106	0.00067166
-0.107	0.00066881
-0.108	0.00066594
-0.109	0.00066306
-0.11	0.00066016
-0.111	0.00065725
-0.112	0.00065432
-0.113	0.00065139
-0.114	0.00064845
-0.115	0.0006455
-0.116	0.00064255
-0.117	0.00063959
-0.118	0.00063664
-0.119	0.00063368
-0.12	0.00063073
-0.121	0.00062778
-0.122	0.00062483
-0.123	0.00062189
-0.124	0.00061896
-0.125	0.00061603
-0.126	0.00061312
-0.127	0.00061021
-0.128	0.00060732
-0.129	0.00060443
-0.13	0.00060156
-0.131	0.0005987
-0.132	0.00059586
-0.133	0.00059303
-0.134	0.00059021
-0.135	0.00058742
-0.136	0.00058463
-0.137	0.00058187
-0.138	0.00057912
-0.139	0.00057639
